,Kernel Name,gpc__cycles_elapsed.max,sm__throughput.avg.pct_of_peak_sustained_elapsed,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_active,lts__throughput.avg.pct_of_peak_sustained_elapsed,gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed,sm__issue_active.avg.pct_of_peak_sustained_elapsed,sm__inst_executed.avg.pct_of_peak_sustained_elapsed,sm__pipe_alu_cycles_active.avg.pct_of_peak_sustained_elapsed,sm__pipe_fma_cycles_active.avg.pct_of_peak_sustained_elapsed,sm__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_elapsed,sm__inst_executed_pipe_adu.avg.pct_of_peak_sustained_elapsed,sm__mio2rf_writeback_active.avg.pct_of_peak_sustained_elapsed,sm__inst_executed_pipe_fp16.avg.pct_of_peak_sustained_elapsed,sm__inst_executed_pipe_xu.avg.pct_of_peak_sustained_elapsed,sm__pipe_fp64_cycles_active.avg.pct_of_peak_sustained_elapsed,sm__pipe_shared_cycles_active.avg.pct_of_peak_sustained_elapsed,sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed
75,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)","2,756",0.01,0.14,19.34,0.14,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0,0,0,0,0
76,"void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4>>(T3)","175,427",5.32,53.38,25.41,23.29,53.38,5.32,5.26,3.43,4.80,1.64,0.49,2.13,0,0.05,0,0,0
77,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","3,170",0.02,0.14,15.53,0.14,0.05,0.02,0.02,0.01,0.01,0.01,0.00,0.00,0,0,0,0,0
78,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","2,759",0.01,0.14,19.64,0.14,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0,0,0,0,0
79,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","3,372",1.31,13.21,9.60,10.00,13.21,1.31,1.20,0.37,1.19,0.95,0.48,0.71,0,0,0,0,0
80,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","3,028",0.02,0.16,17.94,0.16,0.08,0.02,0.02,0.02,0.01,0.01,0.00,0.00,0,0,0,0,0
81,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::BinaryFunctor<float, float, float, at::native::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","17,504",42.97,35.22,32.80,23.06,35.22,42.97,42.76,41.15,25.82,12.91,3.23,4.89,0,0,0,0,0
82,"void at::native::<unnamed>::CatArrayBatchedCopy<float, unsigned int, (int)2, (int)128, (int)1>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)","4,504",19.46,6.21,17.46,2.23,1.01,8.98,8.66,4.87,3.45,5.91,19.46,5.87,0,0.43,0,0,0
83,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::cos_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(double) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)","22,007",26.11,49.77,54.76,41.13,49.77,13.28,13.22,6.45,4.08,2.63,26.11,7.64,0,4.21,15.79,15.79,0
84,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::<unnamed>::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","145,414",40.72,60.27,36.19,23.70,60.27,40.72,40.70,40.70,19.22,13.57,4.52,4.52,0,0,0,0,0
85,volta_sgemm_32x128_tn,"82,170",65.33,62.41,68.98,25.33,61.64,51.85,51.80,19.17,65.33,32.71,0.75,19.59,0,0,0,0,0
86,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, at::detail::Array<char *, (int)1>>(int, T2, T3)","2,313",0.01,0.18,29.02,0.18,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0,0,0,0,0
87,volta_sgemm_32x128_nt,"931,587",90.31,60.22,61.97,37.55,28.59,60.37,60.35,9.65,90.31,38.43,0.03,26.21,0,0,0,0,0
88,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, void at::native::threshold_kernel_impl<float>(at::TensorIteratorBase &, T1, T1)::[lambda(float, float) (instance 1)]>, at::detail::Array<char *, (int)3>>(int, T2, T3)","296,386",3.74,91.87,26.58,34.86,91.87,3.74,3.74,2.77,2.49,2.77,1.11,2.77,0,0,0,0,0
89,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, void at::native::threshold_kernel_impl<float>(at::TensorIteratorBase &, T1, T1)::[lambda(float, float) (instance 1)]>, at::detail::Array<char *, (int)3>>(int, T2, T3)","296,210",3.74,91.98,26.60,34.88,91.98,3.74,3.74,2.77,2.49,2.77,1.11,2.77,0,0,0,0,0
90,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::addcdiv_cuda_kernel(at::TensorIteratorBase &, const c10::Scalar &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float, float, float) (instance 1)], at::detail::Array<char *, (int)4>>(int, T2, T3)","6,651",8.75,20.21,8.61,10.10,20.21,8.75,8.55,5.45,4.27,1.69,0.24,0.84,0,1.92,0,0,0
91,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::addcmul_cuda_kernel(at::TensorIteratorBase &, const c10::Scalar &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float, float, float) (instance 1)], at::detail::Array<char *, (int)4>>(int, T2, T3)","2,806",0.01,0.14,14.29,0.14,0.01,0.01,0.01,0.01,0.00,0.01,0.00,0.00,0,0,0,0,0
92,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::addcdiv_cuda_kernel(at::TensorIteratorBase &, const c10::Scalar &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float, float, float) (instance 1)], at::detail::Array<char *, (int)4>>(int, T2, T3)","3,321",0.05,0.16,11.95,0.16,0.13,0.04,0.04,0.02,0.02,0.02,0.00,0.01,0,0.01,0,0,0
93,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, at::detail::Array<char *, (int)1>>(int, T2, T3)","3,065",2.36,11.31,24.11,11.31,0.01,2.36,2.17,1.03,1.79,1.54,1.02,0.51,0,0,0,0,0
94,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::BinaryFunctor<float, float, float, at::native::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","5,980",11.26,17.98,12.97,13.55,17.98,11.06,10.62,11.26,3.86,5.15,1.29,1.93,0,0,0,0,0
95,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::sin_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)","7,481",23.58,42.73,30.98,32.31,42.73,23.27,23.19,10.82,23.58,3.09,1.55,2.32,0,12.37,0,0,0
96,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::<unnamed>::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","145,171",40.79,60.39,36.25,23.74,60.39,40.79,40.77,40.77,19.25,13.59,4.53,4.53,0,0,0,0,0
97,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<double, at::native::func_wrapper_t<double, at::native::sum_functor<double, double, double>::operator ()(at::TensorIterator &)::[lambda(double, double) (instance 1)]>, unsigned int, double, (int)4>>(T3)","7,893",9.64,27.27,13.55,10.69,27.27,9.64,8.74,6.00,3.25,4.23,2.51,3.33,0,0,2.60,2.60,0
98,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, at::detail::Array<char *, (int)1>>(int, T2, T3)","2,637",1.15,5.57,12.86,5.57,0.01,1.15,1.03,0.49,0.85,0.73,0.49,0.24,0,0,0,0,0
99,volta_sgemm_32x32_sliced1x4_nt,"91,295",58.42,51.60,43.27,21.21,51.60,42.40,42.38,11.83,58.42,27.09,0.13,14.78,0,0,0,0,0
100,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)","3,295",0.69,12.04,8.37,6.83,12.04,0.69,0.63,0.23,0.59,0.55,0.22,0.54,0,0,0,0,0
101,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","3,334",0.27,2.67,6.41,2.04,2.67,0.27,0.25,0.08,0.24,0.20,0.10,0.14,0,0,0,0,0
102,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::sqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)","3,537",3.08,10.13,7.37,7.66,10.13,2.99,2.90,1.09,2.27,0.73,0.36,0.54,0,1.45,0,0,0
103,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","2,773",0.02,0.16,18.46,0.16,0.06,0.02,0.02,0.01,0.01,0.01,0.00,0.00,0,0,0,0,0
104,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::sqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)","3,094",0.04,0.14,15.02,0.14,0.05,0.03,0.03,0.02,0.01,0.01,0.00,0.00,0,0.01,0,0,0
105,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::cos_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)","5,114",11.78,20.97,15.12,15.79,20.97,11.78,11.66,6.02,11.47,1.50,0.75,1.13,0,6.02,0,0,0
106,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::BUnaryFunctor<double, double, double, at::native::AddFunctor<double>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","4,729",5.55,15.10,11.47,11.36,15.10,5.55,5.12,5.26,2.23,1.58,0.53,0.81,0,0,0.53,0.53,0
107,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)","198,324",14.08,90.66,33.14,34.73,90.66,9.95,9.94,5.80,2.90,3.31,1.66,2.48,0,0,0,0,0
108,volta_sgemm_32x128_tn,"82,062",65.47,62.54,68.90,25.27,61.39,51.95,51.91,19.21,65.47,32.78,0.75,19.63,0,0,0,0,0
109,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::or_kernel_cuda(at::TensorIterator &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 24)]::operator ()() const::[lambda(bool, bool) (instance 1)]>, unsigned int, bool, (int)4>>(T3)","5,448",0.24,0.08,7.04,0.08,0.03,0.24,0.22,0.21,0.05,0.08,0.07,0.03,0,0,0,0,0
110,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, at::detail::Array<char *, (int)1>>(int, T2, T3)","2,313",0.01,0.17,28.95,0.17,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0,0,0,0,0
111,volta_sgemm_128x32_nn,"1,379,748",91.81,70.66,71.57,37.62,16.89,65.33,65.33,15.35,91.81,41.84,0.53,26.71,0,0,0,0,0
112,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::BinaryFunctor<float, float, float, void at::native::threshold_kernel_impl<float>(at::TensorIteratorBase &, T1, T1)::[lambda(float, float) (instance 1)]>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","339,725",22.00,81.74,26.18,30.64,81.74,22.00,21.98,20.78,9.66,7.73,1.93,2.90,0,0,0,0,0
113,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)","2,810",0.02,0.17,18.17,0.17,0.11,0.02,0.02,0.01,0.01,0.01,0.00,0.01,0,0,0,0,0
114,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","2,803",0.02,0.16,18.25,0.16,0.06,0.02,0.02,0.01,0.01,0.01,0.00,0.00,0,0,0,0,0
115,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)","4,199",0.95,17.12,10.77,9.66,17.12,0.95,0.88,0.31,0.84,0.76,0.31,0.76,0,0,0,0,0
116,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","3,219",1.09,11.19,8.90,8.42,11.19,1.09,1.00,0.30,1.00,0.80,0.40,0.60,0,0,0,0,0
117,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)","3,130",0.02,0.15,13.57,0.15,0.10,0.02,0.02,0.01,0.01,0.01,0.00,0.00,0,0,0,0,0
118,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::sin_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)","4,861",12.06,22.23,15.90,16.67,22.23,11.98,11.86,5.53,12.06,1.58,0.79,1.19,0,6.33,0,0,0
119,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::BinaryFunctor<double, double, double, at::native::MulFunctor<double>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 2)]>(int, T3)","14,244",31.11,59.67,32.47,34.01,59.67,31.11,30.91,29.59,9.53,5.67,11.02,5.27,0,6.49,1.62,1.62,0
120,"void at::native::<unnamed>::CatArrayBatchedCopy<float, unsigned int, (int)2, (int)64, (int)64>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)","450,004",20.67,52.58,25.23,20.90,52.58,20.67,20.65,15.38,17.76,8.08,0.32,0.88,0,9.75,0,0,0
121,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)","198,557",14.04,90.67,33.03,34.69,90.67,9.91,9.91,5.78,2.89,3.30,1.65,2.48,0,0,0,0,0
122,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::log_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(double) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)","3,273",0.04,0.11,13.37,0.11,0.01,0.02,0.02,0.01,0.01,0.00,0.00,0.00,0,0.00,0.01,0.01,0
123,"void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4>>(T3)","178,407",5.23,52.48,25.91,23.77,52.48,5.23,5.18,3.38,4.72,1.61,0.48,2.09,0,0.05,0,0,0
124,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)","2,838",0.02,0.17,18.25,0.17,0.11,0.02,0.02,0.01,0.01,0.01,0.00,0.01,0,0,0,0,0
125,volta_sgemm_32x128_nt,"949,128",88.64,59.09,60.22,36.82,29.03,59.28,59.25,9.47,88.64,37.75,0.03,25.71,0,0,0,0,0
126,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","2,803",0.02,0.16,17.75,0.16,0.06,0.02,0.02,0.01,0.01,0.01,0.00,0.00,0,0,0,0,0
127,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","2,798",0.02,0.16,18.24,0.16,0.06,0.02,0.02,0.01,0.01,0.01,0.00,0.00,0,0,0,0,0
128,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","3,898",0.90,9.31,8.31,6.96,9.31,0.90,0.82,0.25,0.82,0.66,0.33,0.49,0,0,0,0,0
129,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","3,504",0.59,5.67,6.14,4.30,5.67,0.59,0.54,0.16,0.56,0.41,0.20,0.30,0,0,0,0,0
130,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::BinaryFunctor<float, float, float, at::native::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","5,755",11.70,18.68,13.47,14.14,18.68,11.48,11.03,11.70,4.01,5.35,1.34,2.01,0,0,0,0,0
131,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::cos_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)","5,046",11.93,21.31,15.32,16.06,21.31,11.93,11.81,6.10,11.62,1.52,0.76,1.14,0,6.10,0,0,0
132,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::<unnamed>::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","145,101",40.81,60.38,36.27,23.74,60.38,40.81,40.79,40.79,19.26,13.60,4.53,4.53,0,0,0,0,0
133,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<double, double, double, at::native::MulFunctor<double>>, at::detail::Array<char *, (int)3>>(int, T2, T3)","10,164",1.71,42.15,36.46,31.80,42.15,1.29,1.23,0.19,0.85,1.52,0.38,1.71,0,0,0.76,0.76,0
134,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<double, double, bool, at::native::<unnamed>::CompareEqFunctor<double>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","5,820",3.00,37.12,17.17,15.70,37.12,3.00,2.83,1.99,1.00,1.66,0.66,1.66,0,0,2.66,2.66,0
135,"void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4>>(T3)","173,216",5.39,54.02,25.65,23.92,54.02,5.39,5.33,3.48,4.86,1.66,0.49,2.15,0,0.06,0,0,0
136,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)","3,633",1.10,19.76,9.69,11.16,19.76,1.10,1.01,0.35,0.97,0.88,0.35,0.88,0,0,0,0,0
137,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::addcdiv_cuda_kernel(at::TensorIteratorBase &, const c10::Scalar &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float, float, float) (instance 1)], at::detail::Array<char *, (int)4>>(int, T2, T3)","5,756",3.29,18.74,10.41,9.37,18.74,3.25,3.17,0.49,3.29,1.12,0.22,0.78,0,1.78,0,0,0
138,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::addcmul_cuda_kernel(at::TensorIteratorBase &, const c10::Scalar &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float, float, float) (instance 1)], at::detail::Array<char *, (int)4>>(int, T2, T3)","2,854",0.02,0.15,17.83,0.15,0.06,0.02,0.02,0.01,0.01,0.01,0.00,0.00,0,0,0,0,0
139,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::addcdiv_cuda_kernel(at::TensorIteratorBase &, const c10::Scalar &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float, float, float) (instance 1)], at::detail::Array<char *, (int)4>>(int, T2, T3)","3,313",0.05,0.16,11.67,0.16,0.13,0.04,0.04,0.02,0.02,0.02,0.00,0.01,0,0.01,0,0,0
140,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::addcmul_cuda_kernel(at::TensorIteratorBase &, const c10::Scalar &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float, float, float) (instance 1)], at::detail::Array<char *, (int)4>>(int, T2, T3)","4,081",1.30,17.68,9.69,9.94,17.68,1.30,1.18,0.39,1.26,0.94,0.31,1.10,0,0,0,0,0
141,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)4>>(at::TensorIterator &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, char *, long) (instance 1)]>(at::TensorIterator &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","9,575",0.35,1.22,3.97,0.45,1.22,0.35,0.34,0.35,0.12,0.08,0.23,0.07,0,0,0,0,0
142,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::<unnamed>::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","145,098",40.79,60.37,36.25,23.75,60.37,40.79,40.77,40.77,19.25,13.59,4.53,4.53,0,0,0,0,0
143,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<double, double, double, at::native::AddFunctor<double>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","4,781",1.07,16.91,24.34,16.91,15.01,0.91,0.81,0.13,0.60,0.81,0.27,0.67,0,0,0.54,0.54,0
144,volta_sgemm_32x128_tn,"81,133",66.20,63.24,69.37,25.55,61.95,52.53,52.49,19.42,66.20,33.15,0.76,19.85,0,0,0,0,0
145,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::BinaryFunctor<double, double, double, at::native::MulFunctor<double>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","15,186",16.58,69.64,34.55,37.25,69.64,16.58,16.37,16.37,7.62,6.09,1.52,3.81,0,0,1.52,1.52,0
146,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<double, double, bool, at::native::<unnamed>::CompareEqFunctor<double>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","3,137",0.03,0.37,9.11,0.27,0.37,0.03,0.03,0.02,0.01,0.02,0.01,0.02,0,0,0.03,0.03,0
147,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)","295,284",3.20,92.24,26.68,34.99,92.24,3.20,3.20,1.11,3.06,2.78,1.11,2.78,0,0,0,0,0
148,volta_sgemm_32x128_nn,"109,793",60.37,80.05,61.83,35.34,80.05,59.93,59.90,60.37,28.69,40.50,4.50,12.96,0,0,0,0,0
149,volta_sgemm_128x32_nn,"925,414",91.29,69.72,71.07,40.02,19.81,64.97,64.96,15.26,91.29,41.60,0.53,26.94,0,0,0,0,0
150,"void splitKreduce_kernel<float, float, float>(cublasSplitKParams<T3>, const T1 *, const T2 *, T2 *, const T3 *, const T3 *)","5,172",4.39,27.71,13.05,11.22,27.71,4.39,4.24,3.10,3.16,2.60,0.25,1.12,0,0.74,0,0,0
151,"void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4>>(T3)","176,463",5.29,53.06,25.45,24.01,53.06,5.29,5.24,3.42,4.77,1.63,0.48,2.12,0,0.05,0,0,0
152,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<double>, at::detail::Array<char *, (int)1>>(int, T2, T3)","3,550",1.47,19.76,35.46,19.76,0.01,1.10,1.01,0.55,0.83,0.73,0.37,0.18,0,0,0,0,0
